STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1984,,141.158,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1984,,11.797,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1984,,916.753,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1980,,201.262,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1980,,89.511,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1980,,35.043,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1980,,0.871,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1980,,385.099,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1980,,22.161,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1981,,8.397,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1981,,77.879,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1981,,224.464,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1976,,221.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1976,,60.71,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1976,,10.271,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1976,,461.34,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1978,,4.798,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1978,,6.264,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1977,,6.207,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1977,,0.468,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,2002,,1.235,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,2002,,7.904,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,2002,,2.28,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,2002,,2514.541,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,2004,,368.909,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,2004,,1.409,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,2004,,24.448,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,2004,,80.726,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,2004,,2180.976,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,2004,,2701.712,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,2003,,2442.353,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,2003,,510.56,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,2003,,1.189,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,2003,,8.022,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,2003,,2.38,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,2000,,352.225,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,2000,,1.174,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,2000,,16.545,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,2000,,78.094,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,2000,,2895.602,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1997,,510.951,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1997,,1.071,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1997,,20.469,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1999,,2697.878,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,9.807,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,7.045,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1999,,11.672,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1996,,136.517,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1996,,1.012,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_HEALTHXP,% of health spending,A,Annual,1996,,19.17,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1996,,84.106,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1996,,985.375,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1996,,1171.591,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,9.729,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,6.893,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1998,,11.571,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1998,,5.259,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1998,,540.349,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1995,,1094.034,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1995,,174.369,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,5.554,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1995,,7.643,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1995,,1.887,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1994,,6.078,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1994,,7.327,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1994,,1.912,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,PC_GDP,% of GDP,A,Annual,1993,,0.936,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,USD_CAP,US dollars/capita,A,Annual,1993,,232.708,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1993,,11.405,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1993,,0.675,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1993,,11.238,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_HEALTHXP,% of health spending,A,Annual,1993,,78.997,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,USD_CAP,US dollars/capita,A,Annual,1993,,1611.787,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,VOLUNTARY,Voluntary,USD_CAP,US dollars/capita,A,Annual,1991,,138.21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_GDP,% of GDP,A,Annual,1992,,0.695,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,OOPEXP,Out-of-pocket,PC_HEALTHXP,% of health spending,A,Annual,1992,,11.705,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,USD_CAP,US dollars/capita,A,Annual,1990,,1724.332,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,HEALTHEXP,Health spending,COMPULSORY,Government/compulsory,PC_GDP,% of GDP,A,Annual,1990,,4.291,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,HEALTHEXP,Health spending,TOT,Total,PC_GDP,% of GDP,A,Annual,1990,,8.031,,A,,,,,,,
